room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18007828,1473,9767829,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,12,1.0,,59.0,,2017-07-22 15:35:16.339693,53.360385,-6.263025,0101000020E6100000211FF46C560D19C0077C7E1821AE4A40
16530688,1473,105956652,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,44.0,,2017-07-22 15:35:13.598545,53.339593,-6.272206,0101000020E610000093196F2BBD1619C0AB798EC877AB4A40
17878864,1473,42904666,Shared room,,Dublin,,Dublin city and suburbs,3,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.596349,53.34251,-6.234835,0101000020E61000001CD3139678F018C0C746205ED7AB4A40
8166909,1473,43103292,Shared room,,Dublin,,Dublin city and suburbs,17,4.0,12,1.0,,59.0,,2017-07-22 15:35:13.593684,53.35824,-6.260969,0101000020E61000004D1421753B0B19C03D0FEECEDAAD4A40
15238288,1473,30021630,Shared room,,Dublin,,Dublin city and suburbs,16,4.5,3,1.0,,43.0,,2017-07-22 15:35:13.591662,53.344959,-6.28073,0101000020E61000003A0664AF771F19C0FEBAD39D27AC4A40
10507380,1473,54175148,Shared room,,Dublin,,Dublin city and suburbs,3,5.0,2,1.0,,60.0,,2017-07-22 15:35:13.589023,53.34445,-6.263341,0101000020E6100000A3C85A43A90D19C0B98D06F016AC4A40
18924598,1473,118349440,Shared room,,Dublin,,Dublin city and suburbs,5,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.586843,53.35986,-6.259903,0101000020E610000077871403240A19C0BC9179E40FAE4A40
16936389,1473,22625492,Shared room,,Dublin,,Dublin city and suburbs,4,5.0,4,1.0,,48.0,,2017-07-22 15:35:13.584608,53.374346,-6.270194,0101000020E61000003C4D66BCAD1419C0B8B1D991EAAF4A40
13291603,1473,34453294,Shared room,,Dublin,,Dublin city and suburbs,4,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.581889,53.352858,-6.250392,0101000020E61000005AB8ACC2660019C0E41071732AAD4A40
17590273,1473,119510454,Shared room,,Dublin,,Dublin city and suburbs,6,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.579698,53.351685,-6.277903,0101000020E610000056D7A19A921C19C034BF9A0304AD4A40
736751,1473,3683952,Shared room,,Dublin,,Dublin city and suburbs,34,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.577542,53.371845,-6.251118,0101000020E61000006ABFB513250119C02F17F19D98AF4A40
15068772,1473,83815367,Shared room,,Dublin,,Dublin city and suburbs,39,5.0,1,1.0,,54.0,,2017-07-22 15:35:13.575377,53.345599,-6.237572,0101000020E610000000C8091346F318C0E14389963CAC4A40
19036105,1473,32002944,Shared room,,Dublin,,Dublin city and suburbs,1,0.0,1,1.0,,60.0,,2017-07-22 15:35:13.573188,53.341154,-6.231797,0101000020E6100000603E59315CED18C026732CEFAAAB4A40
19821524,1473,31610538,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,2,1.0,,48.0,,2017-07-22 15:35:13.571065,53.331886,-6.269628,0101000020E6100000F357C85C191419C008008E3D7BAA4A40
15522663,1473,41983221,Shared room,,Dublin,,Dublin city and suburbs,31,4.5,2,1.0,,60.0,,2017-07-22 15:35:13.568772,53.349038,-6.259855,0101000020E6100000EECEDA6D170A19C0D787F546ADAC4A40
9163704,1473,1847328,Shared room,,Dublin,,Dublin city and suburbs,3,5.0,2,1.0,,48.0,,2017-07-22 15:35:13.566519,53.295668,-6.179003,0101000020E6100000268BFB8F4CB718C0A33CF372D8A54A40
17350802,1473,42819993,Shared room,,Dublin,,Dublin city and suburbs,1,0.0,1,1.0,,60.0,,2017-07-22 15:35:13.564327,53.362348,-6.257221,0101000020E6100000AF601BF1640719C0B0E2546B61AE4A40
17557425,1473,14012859,Shared room,,Dublin,,Dublin city and suburbs,8,4.0,1,1.0,,54.0,,2017-07-22 15:35:13.562177,53.344727,-6.263955,0101000020E6100000757632384A0E19C02B86AB0320AC4A40
18547690,1473,107164896,Shared room,,Dublin,,Dublin city and suburbs,5,4.5,2,1.0,,62.0,,2017-07-22 15:35:13.559633,53.365517,-6.291996,0101000020E61000005340DAFF002B19C0E690D442C9AE4A40
15112796,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,3,1.0,,24.0,,2017-07-22 15:35:09.646005,53.332176,-6.291389,0101000020E610000015A8C5E0612A19C00F4240BE84AA4A40
4848129,1473,24944720,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,18.0,,2017-07-22 15:35:09.643454,53.342218,-6.275914,0101000020E6100000C0081A33891A19C0200DA7CCCDAB4A40
13477645,1473,75519919,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,13.0,,2017-07-22 15:35:09.641255,53.339757,-6.27275,0101000020E61000009EEFA7C64B1719C025CB49287DAB4A40
14227822,1473,20565709,Shared room,,Dublin,,Dublin city and suburbs,3,3.5,1,1.0,,30.0,,2017-07-22 15:35:09.639177,53.33449,-6.289886,0101000020E6100000E54526E0D72819C0666B7D91D0AA4A40
18520457,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,3,1.0,,27.0,,2017-07-22 15:35:09.637090,53.350888,-6.243155,0101000020E61000007E6FD39FFDF818C08847E2E5E9AC4A40
6255482,1473,32496256,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,1,1.0,,24.0,,2017-07-22 15:35:09.632687,53.347821,-6.282127,0101000020E61000003D4679E6E52019C057EE056685AC4A40
4946581,1473,6711430,Shared room,,Dublin,,Dublin city and suburbs,3,4.0,1,1.0,,38.0,,2017-07-22 15:35:09.630568,53.354174,-6.274554,0101000020E6100000A6F10BAF241919C0F88BD99255AD4A40
14225050,1473,43261745,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,13.0,,2017-07-22 15:35:09.627890,53.339476,-6.273174,0101000020E61000005378D0ECBA1719C071E316F373AB4A40
10327163,1473,53142705,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,16.0,,2017-07-22 15:35:09.625112,53.32913,-6.266179,0101000020E610000027874F3A911019C0F5108DEE20AA4A40
